,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
9320,17253570,tail,,,,declarative,eng,-2147483648,1,27,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,90.784,91.557,s,Eng-NA,21,330,22782,22782,43667
9321,17253571,soak,,,,declarative,eng,-2147483648,1,37,PaidoEnglish,,CHI,,Target_Child,,63.0012936610608,female,200.416,201.779,s,Eng-NA,21,330,22782,22782,43653
9322,17253572,chute,,,,declarative,eng,-2147483648,1,27,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,100.821,102.092,s,Eng-NA,21,330,22782,22782,43664
9323,17253573,cute,,,,declarative,eng,-2147483648,1,27,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,200.723,201.7,s,Eng-NA,21,330,22782,22782,43668
9324,17253574,ketchup,,,,declarative,eng,-2147483648,1,37,PaidoEnglish,,CHI,,Target_Child,,63.0012936610608,female,136.97,138.292,s,Eng-NA,21,330,22782,22782,43654
9325,17253575,super,,,,declarative,eng,-2147483648,1,30,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,254.838,256.464,s,Eng-NA,21,330,22782,22782,43662
9326,17253576,chop,,,,declarative,eng,-2147483648,1,27,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,85.431,86.409,s,Eng-NA,21,330,22782,22782,43669
9327,17253577,soak,,,,declarative,eng,-2147483648,1,26,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,206.909,207.803,s,Eng-NA,21,330,22782,22782,43671
9328,17253578,tube,,,,declarative,eng,-2147483648,1,29,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,95.962,96.863,s,Eng-NA,21,330,22782,22782,43661
9329,17253579,gumdrops,,,,declarative,eng,-2147483648,1,33,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,306.859,308.114,s,Eng-NA,21,330,22782,22782,43659
9330,17253580,tongue,,,,declarative,eng,-2147483648,1,33,PaidoEnglish,,CHI,,Target_Child,,63.0012936610608,female,160.998,162.029,s,Eng-NA,21,330,22782,22782,43655
9331,17253581,deer,,,,declarative,eng,-2147483648,1,30,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,106.699,107.559,s,Eng-NA,21,330,22782,22782,43665
9332,17253582,tepee,,,,declarative,eng,-2147483648,1,30,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,206.758,207.948,s,Eng-NA,21,330,22782,22782,43663
9333,17253583,thinking,,,,declarative,eng,-2147483648,1,29,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,144.289,145.395,s,Eng-NA,21,330,22782,22782,43658
9334,17253584,duke,,,,declarative,eng,-2147483648,1,29,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,107.434,108.466,s,Eng-NA,21,330,22782,22782,43666
9335,17253585,ketchup,,,,declarative,eng,-2147483648,1,32,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,87.744,88.654,s,Eng-NA,21,330,22782,22782,43660
