,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
717,14059405,I like frog,I like frog,,,declarative,eng,3,3,2,POLER,pro:sub v n,CHI,146,Target_Child,146,91.00186862153227,female,2.288,8.275,s,Clinical-MOR,17,256,18518,18518,31521
718,14059406,speak louder,speak loud,,,declarative,eng,3,2,3,POLER,v adj,INV,None,Investigator,133,63.0012936610608,female,11.465,15.998,s,Clinical-MOR,17,256,18514,18511,31517
719,14059407,he woke up and was surprised to find that the frog wasn't there,he wake up and be surprise to find that the frog be there,,,declarative,eng,20,13,5,POLER,pro:sub v adv coord aux part inf v comp det:art n cop adv,CHI,139,Target_Child,139,135.00277213084456,male,15.386,17.22,s,Clinical-MOR,17,256,18512,18512,31518
720,14059409,frog got out of his um jar when I was sleeping,frog get out of his jar when I be sleep,,,declarative,eng,14,11,3,POLER,n v adv prep det:poss n conj pro:sub aux part,CHI,146,Target_Child,146,91.00186862153227,female,8.275,19.293,s,Clinical-MOR,17,256,18518,18518,31521
721,14059410,he's sleeping,he sleep,,,declarative,eng,4,2,4,POLER,pro:sub part,CHI,133,Target_Child,133,63.0012936610608,female,,,None,Clinical-MOR,17,256,18511,18511,31517
722,14059411,a little boy was um looking at his frog,a little boy be look at his frog,,,declarative,eng,11,9,1,POLER,det:art adj n aux part prep det:poss n,CHI,136,Target_Child,136,110.00225877328076,female,0.001,6.676,s,Clinical-MOR,17,256,18513,18513,31519
723,14059412,he looked all around his room,he look all around his room,,,declarative,eng,7,6,6,POLER,pro:sub v adv prep det:poss n,CHI,139,Target_Child,139,135.00277213084456,male,20.424,24.749,s,Clinical-MOR,17,256,18512,18512,31518
724,14059414,and the frog's getting out of the of the uh uh bucket,and the frog get out of the bucket,,,declarative,eng,10,12,5,POLER,coord det:art n n:gerund prep prep det:art n,CHI,133,Target_Child,133,63.0012936610608,female,15.998,30.069,s,Clinical-MOR,17,256,18511,18511,31517
725,14059415,and the dog was looking at it too,and the dog be look at it too,,,declarative,eng,11,8,2,POLER,coord det:art n aux part prep pro:per adv,CHI,136,Target_Child,136,110.00225877328076,female,,,None,Clinical-MOR,17,256,18513,18513,31519
726,14059416,when I woke up I did not see him in the jar,when I wake up I do not see him in the jar,,,declarative,eng,14,12,4,POLER,conj pro:sub v adv pro:sub mod neg v pro:obj prep det:art n,CHI,146,Target_Child,146,91.00186862153227,female,19.293,23.901,s,Clinical-MOR,17,256,18518,18518,31521
